id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
2797791,Beijing Great Wall Escape,14311129,Andrew,怀柔区 / Huairou,40.47329,116.54511,Entire home/apt,1914,1,56,0.72,1,234,3
4990531,Monthly Discounted- Orchid's Residence Expansive Hutong Home,25729513,Joel,东城区,39.94193,116.39843,Entire home/apt,1610,29,20,0.35,10,118,0
6619374,老北京四合院 千钟粟 延庆柳沟豆腐宴 82号农家四合院整租,34492133,乐林,延庆县 / Yanqing,40.44608,116.09846,Entire home/apt,2598,1,3,0.11,1,29,0
6801565,Zhang's courtyard,35607486,Janice,怀柔区 / Huairou,40.29164,116.5752,Private room,239,1,1,0.02,1,365,0
6862828,Simatai Great Wall Villa,22147091,Shaojie,密云县 / Miyun,40.65044,117.31346,Entire home/apt,2714,1,2,0.04,3,298,1
6956755,千灵山景区别墅团建聚会烧烤K歌基地,36474626,李磊,丰台区 / Fengtai,39.84328,116.08352,Entire home/apt,2955,1,14,0.21,1,361,3
7084189,A farmyard house in Qiniang Valley,37119837,Shinefan,密云县 / Miyun,40.63971,116.74466,Entire home/apt,1242,1,61,0.96,1,84,15
7151567,Discovery@A Real Aged Stone Mountain Yard,37454239,Annie,怀柔区 / Huairou,40.36919,116.51632,Entire home/apt,2140,1,11,0.17,2,360,5
7562324,十渡小猪窝民宿（庭院房）,39643798,燕军,房山区,39.63213,115.5861,Entire home/apt,3651,1,29,0.44,3,351,0
7683294,The Nuts Yard 栗子熟了,40336063,Cherry,怀柔区 / Huairou,40.41158,116.59978,Entire home/apt,709,1,25,0.38,1,58,2
7783061,Discovery@雲熹别院三号院 Aged Trees Cottage 果树成荫 尽情欢聚,37454239,Annie,怀柔区 / Huairou,40.36916,116.5129,Entire home/apt,2188,1,19,0.3,2,331,0
7989970,北屋南院,38197696,阳,顺义区 / Shunyi,40.23777,116.71987,Entire home/apt,1000,1,0,0.0,1,338,0
8241814,王府井旁胡同里的传统四合院之中式大床房，步行5分钟到东四地铁站,43464691,宸,东城区,39.92572,116.42193,Private room,559,1,37,0.53,11,361,11
8355026,Loft经典四人家庭间 110丨市中心四合院可做饭2分钟地铁故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92642,116.37168,Entire home/apt,871,1,4,1.32,23,356,3
8655881,王府井旁胡同里的老北京四合院之复式大床房，步行到地铁站5分钟,43464691,宸,东城区,39.92716,116.42057,Private room,672,1,75,1.07,11,358,12
8691352,王府井旁胡同里的老北京四合院之复式家庭房，步行到地铁站5分钟,43464691,宸,东城区,39.92639,116.42113,Private room,818,1,69,0.95,11,340,20
8691747,王府井旁胡同里的老北京四合院之混住四人间A，步行到地铁站5分钟,43464691,宸,东城区,39.92668,116.42216,Shared room,167,1,213,2.98,11,355,8
8692794,王府井旁胡同里的老北京四合院之混住八人间，步行到地铁站5分钟,43464691,宸,东城区,39.92639,116.42113,Shared room,135,1,130,1.79,11,364,12
8785199,"R1* Frida love,walk to metro station line5/line14",13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,575,1,145,2.0,9,79,9
8786229,R3*Premium Twin Room IRIS HOUSE,13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,556,1,100,1.39,9,354,7
8786445,R5*Premium Twin Room IRIS HOUSE,13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,572,1,122,1.7,9,356,9
8787628,R4* Deluxe Family Room  IRIS HOUSE,13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,593,1,75,1.04,9,173,3
8788133,Iris House Hotel King Room,13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,603,1,139,1.93,9,356,15
8788262,R7* Premium King Room IRIS HOUSE,13604427,Iris,丰台区 / Fengtai,39.86771,116.424629,Private room,605,1,142,2.05,9,357,15
8942688,王府井旁胡同里的老北京四合院之混住四人间B，步行到地铁站5分钟,43464691,宸,东城区,39.92639,116.42113,Private room,152,1,173,2.44,11,338,16
9142891,R2* Premium Bunk Room IRIS HOUSE,13604427,Iris,丰台区 / Fengtai,39.86845,116.42433,Private room,458,1,125,1.75,9,354,4
9201594,王府井旁胡同里的老北京四合院之混住八人间A，步行到地铁站5分钟,43464691,宸,东城区,39.92569,116.4217,Private room,135,1,100,1.43,11,360,9
9514359,"王府井旁胡同里的老北京四合院之四人女生间C,步行到地铁站5分钟",43464691,宸,东城区,39.92707,116.42001,Shared room,169,1,121,1.78,11,359,12
9826203,观景大床间113丨市中心四合院可做饭消毒丨2分钟地铁西四站故宫天安门北海景山南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.9264,116.37207,Entire home/apt,569,1,13,0.81,23,361,5
9826367,中式四人家庭间405丨市中心四合院可做饭消毒丨2分钟地铁西四站故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92634,116.37227,Entire home/apt,856,1,0,0.0,23,357,0
9826444,阳光大床间112丨市中心四合院可做饭消毒丨2分钟地铁西四站故宫天安门北海景山南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92628,116.37246,Entire home/apt,569,1,3,0.23,23,356,1
9826907,Loft古典三人家庭间 301丨市中心四合院可做饭2分钟地铁故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92501,116.36617,Entire home/apt,678,1,1,0.02,23,359,0
9980879,王府井旁胡同里的老北京四合院之混住八人间A，步行到地铁站5分钟,43464691,宸,东城区,39.92575,116.42189,Shared room,135,1,92,1.32,11,360,4
10758433,Loft古典大床间101丨市中心四合院可做饭2分钟地铁西四站故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92628,116.372,Entire home/apt,569,1,4,0.38,23,359,3
10758456,Loft古典四人家庭间109丨市中心四合院可做饭2分钟地铁站故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92481,116.36575,Entire home/apt,770,1,3,0.25,23,355,3
11283515,[Loft套房]户外阳台/独立院子免费停车/近三里屯望京,58944350,Xiaoyan,朝阳区 / Chaoyang,39.95857,116.45851,Private room,885,1,16,0.34,1,54,0
11667483,慕田峪长城---伴山小院《1号院观山》,61938486,曹阳,怀柔区 / Huairou,40.39798,116.56549,Entire home/apt,1894,1,1,0.04,2,57,0
11877515,Beijing Badaling Great Wall Cao Ecomony Queen Room,63217473,Xu,延庆县 / Yanqing,40.36177,115.99327,Private room,393,1,6,0.12,5,361,1
11953547,小三的院子 Xiaosan’s Yard,56925319,松林,怀柔区 / Huairou,40.38379,116.5412,Entire home/apt,3571,2,4,0.06,2,78,1
12253489,寄畅居四号四居别墅*观山*近雁栖湖/青龙峡/云蒙山,29090596,Meizi,怀柔区 / Huairou,40.5306,116.66577,Entire home/apt,2071,1,3,0.06,3,361,0
12351244,十渡缤纷客民宿-豪华套房（带麻将机）,36244397,赛,房山区,39.67027,115.59788,Private room,870,1,6,0.21,7,359,2
12351436,十渡缤纷客民宿超级套房（麻将房可做饭）,36244397,赛,房山区,39.67066,115.59638,Entire home/apt,913,1,6,0.1,7,359,0
12351683,十渡缤纷客民宿萌趣家庭房壹号,36244397,赛,房山区,39.6718,115.59557,Private room,356,1,8,0.13,7,359,0
12685011,村楠槿舍万科幸福汇,68938363,明浩,房山区,39.6537,116.0656,Entire home/apt,218,1,0,0.0,1,153,0
12716853,观城·莺啼 | 公寓套房（新店开业特惠） 响水湖慕田峪长城  品赏天然食材 走进自然风光 豪华民宿,47672470,影,怀柔区 / Huairou,40.46728,116.483,Entire home/apt,1974,1,3,0.12,9,358,0
12741371,"悠密之苑轰趴馆 表白求婚  生日派对  演唱会    
户外露营派对",69299389,思洋,怀柔区 / Huairou,40.28495,116.66041,Entire home/apt,2809,1,0,0.0,1,359,0
12741519,灵山木屋---心歇息的地方,64987062,史群勇,门头沟区 / Mentougou,39.991089,115.485634,Entire home/apt,5694,1,5,0.08,2,359,1
12820498,古典四人家庭间loft108丨市中心四合院可做饭2分钟地铁站故宫天安门北海南锣景山北大人民阜外医院,44037550,曹家四合院,西城区,39.92313,116.37337,Entire home/apt,778,1,4,0.25,23,354,1
12855780,2 rooms entrie rent with comp breakfast,27395637,Alice Yaping,怀柔区 / Huairou,40.37888,116.55169,Entire home/apt,2574,1,19,0.6,8,163,3
